"pedigree","parent1","parent2","yield","twt","prot","ht"
"MN11015/MN11328","MN11015","MN11328",80.36013216,61.582431532858,14.4103709218178,76.7789688051024
"MN11015/MN11439","MN11015","MN11439",80.41724355,63.082431532858,14.6603709218178,81.2789688051024
"MN11015/MN11469","MN11015","MN11469",86.356828195,62.132431532858,13.7103709218178,77.9289688051024
"MN11015/MN11013","MN11015","MN11013",77.276117055,62.482431532858,15.0603709218178,78.7789688051024
"MN11015/MN11076","MN11015","MN11076",80.017463815,62.432431532858,14.5103709218178,75.4289688051024
"MN11015/MN11174","MN11015","MN11174",87.32772184,63.132431532858,13.8603709218178,77.6289688051024
"MN11015/MN11194","MN11015","MN11194",82.90158905,62.082431532858,14.7603709218178,77.9289688051024
"MN11015/MN11197","MN11015","MN11197",80.84557898,62.832431532858,14.3603709218178,75.6289688051024
"MN11015/MN11252","MN11015","MN11252",85.728602895,62.282431532858,13.7603709218178,77.2789688051024
"MN11015/MN11274","MN11015","MN11274",77.904342355,63.132431532858,14.0103709218178,82.7789688051024
"MN11015/MN11368","MN11015","MN11368",85.58582442,62.582431532858,13.9103709218178,79.7789688051024
"MN11015/MN11404","MN11015","MN11404",86.84227502,62.482431532858,14.6103709218178,81.1289688051024
"MN11015/MN11468","MN11015","MN11468",83.130034615,63.632431532858,14.4603709218178,77.1289688051024
"MN11015/MN11494","MN11015","MN11494",84.41504091,62.132431532858,13.7603709218178,78.2789688051024
"MN11015/MN11495","MN11015","MN11495",87.89883575,62.832431532858,14.6603709218178,82.2789688051024
"MN11015/MN11159","MN11015","MN11159",92.86752675,62.132431532858,14.2603709218178,78.1289688051024
"MN11015/MN11264","MN11015","MN11264",84.357929515,61.632431532858,14.5603709218178,79.4289688051024
"MN11015/MN11506","MN11015","MN11506",88.298615485,62.382431532858,14.3603709218178,81.2789688051024
"MN11015/Albany","MN11015","Albany",91.9251888,62.382431532858,13.8603709218178,81.4289688051024
"MN11015/Briggs","MN11015","Briggs",80.959801765,62.232431532858,14.6603709218178,80.1289688051024
"MN11015/Vantage","MN11015","Vantage",81.53091567,63.482431532858,14.9603709218178,79.2789688051024
"MN11051/MN11059","MN11051","MN11059",85.27171177,63.832431532858,14.3603709218178,83.4789688051024
"MN11051/MN11061","MN11051","MN11061",82.53036501,64.432431532858,15.1603709218178,82.1289688051024
"MN11051/MN11090","MN11051","MN11090",81.9592511,63.582431532858,14.6103709218178,83.1289688051024
"MN11051/MN11095","MN11051","MN11095",84.58637508,63.482431532858,14.1103709218178,79.6289688051024
"MN11051/MN11142","MN11051","MN11142",84.243706735,64.332431532858,14.6103709218178,82.7789688051024
"MN11051/MN11148","MN11051","MN11148",81.15969163,63.432431532858,14.5603709218178,77.6289688051024
"MN11051/MN11169","MN11051","MN11169",79.275015735,64.532431532858,14.2103709218178,83.9789688051024
"MN11051/MN11202","MN11051","MN11202",84.043816865,64.332431532858,14.8603709218178,81.2789688051024
"MN11051/MN11210","MN11051","MN11210",83.044367525,62.982431532858,14.4603709218178,80.2789688051024
"MN11051/MN11243","MN11051","MN11243",81.41669289,63.132431532858,14.8103709218178,81.2789688051024
"MN11051/MN11268","MN11051","MN11268",86.242605415,63.982431532858,14.1103709218178,82.9789688051024
"MN11051/MN11297","MN11051","MN11297",80.331576465,63.682431532858,14.3103709218178,80.4789688051024
"MN11051/MN11317","MN11051","MN11317",85.81426998,63.482431532858,14.4603709218178,80.4789688051024
"MN11051/MN11330","MN11051","MN11330",83.729704215,63.582431532858,14.7603709218178,81.1289688051024
"MN11051/MN11395","MN11051","MN11395",80.7313562,62.832431532858,14.8103709218178,81.7789688051024
"MN11051/MN11397","MN11051","MN11397",82.47325362,63.582431532858,15.1103709218178,82.1289688051024
"MN11051/MN11415","MN11051","MN11415",79.53201699,63.782431532858,14.3103709218178,83.1289688051024
"MN11051/MN11433","MN11051","MN11433",71.45075519,62.932431532858,14.9603709218178,80.9789688051024
"MN11051/MN11484","MN11051","MN11484",80.7313562,62.732431532858,14.8603709218178,82.4789688051024
"MN11051/MN11490","MN11051","MN11490",80.58857772,63.682431532858,14.5603709218178,82.7789688051024
"MN11051/MN11497","MN11051","MN11497",84.84337634,63.482431532858,14.3103709218178,81.4789688051024
"MN11051/MN10036","MN11051","MN10036",80.16024229,63.232431532858,14.7603709218178,81.4789688051024
"MN11051/MN10052","MN11051","MN10052",79.10368156,64.182431532858,14.5603709218178,82.6289688051024
"MN11051/MN10061","MN11051","MN10061",88.155837005,64.632431532858,15.0603709218178,85.6289688051024
"MN11051/MN10077","MN11051","MN10077",79.332127125,64.182431532858,14.2103709218178,83.7789688051024
"MN11051/MN10079","MN11051","MN10079",82.073473885,63.482431532858,14.7603709218178,80.9789688051024
"MN11051/MN10095","MN11051","MN10095",83.27281309,63.782431532858,14.8103709218178,83.4789688051024
"MN11051/MN10099","MN11051","MN10099",86.87083071,63.982431532858,14.1603709218178,79.7789688051024
"MN11051/MN10106","MN11051","MN10106",76.44800189,62.732431532858,15.3603709218178,78.2789688051024
"MN11051/MN10110","MN11051","MN10110",84.357929515,64.332431532858,14.9103709218178,83.1289688051024
"MN11051/MN10117","MN11051","MN10117",77.30467275,63.782431532858,14.7603709218178,76.9789688051024
"MN11051/MN10125","MN11051","MN10125",83.815371305,63.782431532858,14.7603709218178,86.2789688051024
"MN11051/MN10159","MN11051","MN10159",82.27336375,63.632431532858,14.1103709218178,84.4789688051024
"MN11051/MN10162","MN11051","MN10162",78.98945878,63.232431532858,14.0103709218178,79.7789688051024
"MN11051/MN10164","MN11051","MN10164",86.099826935,63.682431532858,14.1603709218178,78.2789688051024
"MN11051/MN10177","MN11051","MN10177",85.842825675,63.132431532858,14.7603709218178,79.1289688051024
"MN11051/MN10183","MN11051","MN10183",83.187146005,62.932431532858,14.4103709218178,77.2789688051024
"MN11051/MN10187","MN11051","MN10187",84.871932035,64.482431532858,15.3603709218178,81.9789688051024
"MN11051/MN10190","MN11051","MN10190",78.275566395,63.782431532858,14.7103709218178,81.6289688051024
"MN11051/MN10195","MN11051","MN10195",81.188247325,64.432431532858,14.8103709218178,86.4289688051024
"MN11051/MN10202","MN11051","MN10202",77.704452485,64.432431532858,14.5603709218178,82.1289688051024
"MN11051/MN10205","MN11051","MN10205",80.245909375,63.582431532858,14.6103709218178,87.4789688051024
"MN11051/MN10220","MN11051","MN10220",69.10918817,64.332431532858,14.6603709218178,79.6289688051024
"MN11051/MN10245","MN11051","MN10245",80.245909375,63.482431532858,13.7103709218178,83.4789688051024
"MN11051/MN10279","MN11051","MN10279",85.671491505,62.432431532858,14.3103709218178,78.6289688051024
"MN11051/MN10288","MN11051","MN10288",83.044367525,64.282431532858,14.6603709218178,81.9289688051024
"MN11051/MN10289","MN11051","MN10289",82.558920705,63.782431532858,14.6603709218178,81.1289688051024
"MN11051/MN10292","MN11051","MN10292",81.188247325,64.982431532858,14.4603709218178,81.1289688051024
"MN11051/MN10318","MN11051","MN10318",82.244808055,63.282431532858,15.0103709218178,83.1289688051024
